ERVILLE,BUNCOMBE,NC,35.7,-82.56,PENNY SIZE HAIL REPORTED TO 911 (GSP)
1750,75,MOUNT HOLLY,WESTMORELAND,VA,38.09,-76.72,7-10 MINUTES OF PENNY SIZED HAIL. REPORTED BY SHERIFF DEPUTY. (AKQ)
1759,88,HOLLAND PATENT,ONEIDA,NY,43.24,-75.26,(BGM)
1820,100,SCHROON LAKE,ESSEX,NY,43.83,-73.73,(BTV)
1825,75,HARTLAND,WINDSOR,VT,43.54,-72.4,(BTV)
1830,88,1 N STONEVILLE,ROCKINGHAM,NC,36.48,-79.91,(RNK)
1855,88,SCHROON LAKE,ESSEX,NY,43.83,-73.73,(BTV)
1912,88,NORWICH,WINDSOR,VT,43.72,-72.3,(BTV)
1915,88,2 SE VILLA RICA,DOU
