siness, and financial occupations:","11,516","+/-1,621","9,895","13,137"
"C24060",34.000,"Management occupations","8,119","+/-1,483","6,636","9,602"
"C24060",35.000,"Business and financial operations occupations","3,397","+/-881","2,516","4,278"
"C24060",36.000,"Professional and related occupations:","15,785","+/-2,370","13,415","18,155"
"C24060",37.000,"Computer and mathematical occupations","286","+/-261","25","547"
"C24060",38.000,"Architecture and engineering occupations","2,573","+/-810","1,763","3,383
