time, year-round civilian employed population 16 years and over with earnings",,,,
"B24021",1.000,"Total:","54,855","+/-2,756","52,099","57,611"
"B24021",2.000,"Management, professional, and related occupations:","86,072","+/-3,404","82,668","89,476"
"B24021",3.000,"Management, business, and financial occupations:","90,494","+/-7,007","83,487","97,501"
"B24021",4.000,"Management occupations","98,257","+/-8,857","89,400","107,114"
"B24021",5.000,"Business and financial operations occupations","77,532","+/-10
