N"
"B21001C",5.000,"Nonveteran","N","N","N","N"
"B21001C",6.000,"35 to 54 years:","N","N","N","N"
"B21001C",7.000,"Veteran","N","N","N","N"
"B21001C",8.000,"Nonveteran","N","N","N","N"
"B21001C",9.000,"55 to 64 years:","N","N","N","N"
"B21001C",10.000,"Veteran","N","N","N","N"
"B21001C",11.000,"Nonveteran","N","N","N","N"
"B21001C",12.000,"65 to 74 years:","N","N","N","N"
"B21001C",13.000,"Veteran","N","N","N","N"
"B21001C",14.000,"Nonveteran","N","N","N","N"
"B21001C",15.000,"75 years and over:","N","N","N
