||MST|1|F|Y|Salt Lake City|UT|40.7770|-111.9300|OZONE|50|Good|No|
12/27/02|12/27/02||CST|0|F|Y|San Antonio|TX|29.4170|-98.4840|OZONE|50|Good|No|Ozone Action Day Forecasts issued from April through October.
12/27/02|12/28/02||CST|1|F|Y|San Antonio|TX|29.4170|-98.4840|OZONE|50|Good|No|Ozone Action Day Forecasts issued from April through October.
12/27/02|12/26/02||PST|-1|Y|Y|San Bernardino Co. Metro|CA|34.1400|-117.2920|OZONE||Good|No|
12/27/02|12/27/02||PST|0|F|Y|San Bernardino Co. Metro|CA|34.1400|-117.2920
