no origin (of any race)","10.5","+/-2.3","20,070","+/-3,359",,,,,,,,
"S1902",24.0,"White alone, not Hispanic or Latino","12.8","+/-1.8","30,647","+/-3,648",,,,,,,,
"S1902",24.3,,,,,,,,,,,,,
"S1902",24.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1902",25.0,"Household income in the past 12 months","37.8","(X)","(X)","(X)",,,,,,,,
"S1902",26.0,"Family income in the past 12 months","38.7","(X)","(X)","(X)",,,,,,,,
"S1902",27.0,"Individual income in the past 12 months","27.7","(X)","(X)","(X)",,,,,,,,
"S1903",0.0,,,,,,,,,
