     33.8","               +/-6.7","N","N"
" ","         247"," "," "," "," "
"S0201","         248","     16.5","               +/-0.9","              12.9","               +/-3.0"
"S0201","         249","     24.5","               +/-1.8","              15.3","               +/-5.3"
"S0201","         250","     24.3","               +/-1.8","              15.0","               +/-5.2"
"S0201","         251","     26.6","               +/-2.3","              18.5","               +/-8.8"
"S0201","         
