B23007",.,"PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS",,,,
"B23007",.,"Universe:  Families",,,,
"B23007",1.000,"Total:","25,446","+/-1,627","23,819","27,073"
"B23007",2.000,"With own children under 18 years:","12,016","+/-1,483","10,533","13,499"
"B23007",3.000,"Married-couple family:","7,090","+/-1,278","5,812","8,368"
"B23007",4.000,"Husband in labor force:","6,372","+/-1,238","5,134","7,610"
"B23007",5.000,"Employed or in Armed Forces:","6,245","+/-1,225","5,020","7,470"
