02"
"B19201",17.000,"$200,000 or more","1,868","+/-628","1,240","2,496"
"B19202",.,"MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"B19202",.,"Universe:  Nonfamily households",,,,
"B19202",1.000,"Median nonfamily household income in the past 12 months (in 2007 inflation-adjusted dollars)","35,906","+/-2,169","33,737","38,075"
"B19202A",.,"MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER)",
