not Hispanic or Latino",183,"Male civilian employed population 16 years and over","213,827","+/-4,808","154,203","+/-3,617"
"451","White alone, not Hispanic or Latino",184,"Management, professional, and related occupations","25.9","+/-1.6","29.9","+/-2.1"
"451","White alone, not Hispanic or Latino",185,"Service occupations","18.0","+/-1.5","15.7","+/-1.6"
"451","White alone, not Hispanic or Latino",186,"Sales and office occupations","14.9","+/-1.3","16.5","+/-1.7"
"451","White alone, not Hispanic or Latino"
