t","Margin of Error"
"DP04",0.8,"HOUSING OCCUPANCY",,,,
"DP04",1.0,"Total housing units","317,480","+/-1,691","100","(X)"
"DP04",2.0,"Occupied housing units","293,009","+/-3,122","92.3","+/-0.9"
"DP04",3.0,"Vacant housing units","24,471","+/-2,930","7.7","+/-0.9"
"DP04",3.3,,,,,
"DP04",4.0,"Homeowner vacancy rate","2.0","+/-0.6","(X)","(X)"
"DP04",5.0,"Rental vacancy rate","5.3","+/-1.5","(X)","(X)"
"DP04",5.3,,,,,
"DP04",5.5,"UNITS IN STRUCTURE",,,,
"DP04",6.0,"Total housing units","317,480","+/-1,691","10
