8.3,,,,,,,,,,,,,
"S0802",19.0,"Hispanic or Latino origin (of any race)","25.0","+/-0.3","20.0","+/-0.7","27.0","+/-1.6","27.6","+/-0.4",,,,
"S0802",20.0,"White alone, not Hispanic or Latino","38.4","+/-0.3","42.4","+/-0.9","35.0","+/-1.9","33.2","+/-0.5",,,,
"S0802",20.3,,,,,,,,,,,,,
"S0802",20.5,"CITIZENSHIP STATUS",,,,,,,,,,,,
"S0802",21.0,"Native","53.4","+/-0.5","55.9","+/-0.9","43.9","+/-1.9","52.1","+/-0.7",,,,
"S0802",22.0,"Foreign born","46.6","+/-0.5","44.1","+/-0.9","56.1","+/-1.9","47.9","+/-0.7"
