,14.000,"Less than high school graduate","7,195","+/-1,241","5,954","8,436"
"C15001",15.000,"High school graduate (includes equivalency)","17,392","+/-1,603","15,789","18,995"
"C15001",16.000,"Some college or associate's degree","9,586","+/-1,518","8,068","11,104"
"C15001",17.000,"Bachelor's degree or higher","4,693","+/-1,093","3,600","5,786"
"C15001",18.000,"45 to 64 years:","80,415","+/-941","79,474","81,356"
"C15001",19.000,"Less than high school graduate","18,530","+/-1,561","16,969","20,091"
"C15001",
