2/,inq21997.tgz,1313877.nc,19970424,-19.0167,53.2500,3.00000,914.000,6.23000,27.4200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313878.nc,19970424,-18.6500,51.7500,3.00000,891.000,5.75000,27.6800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313879.nc,19970425,-18.1667,50.0333,3.00000,899.000,5.90000,27.7600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313880.nc,19970428,-7.7500,43.4333,3.00000,910.000,6.83000,28.5900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq219
