1002",.,"MEDIAN AGE BY SEX",,,,
"B01002",.,"Universe:  Total population",,,,
"B01002",0.700,"Median age --",,,,
"B01002",1.000,"Total:","37.4","+/-0.1","37.3","37.5"
"B01002",2.000,"Male","36.3","+/-0.2","36.1","36.5"
"B01002",3.000,"Female","38.5","+/-0.2","38.3","38.7"
"B01002A",.,"MEDIAN AGE BY SEX (WHITE ALONE)",,,,
"B01002A",.,"Universe:  White alone population",,,,
"B01002A",0.700,"Median age --",,,,
"B01002A",1.000,"Total:","39.5","+/-0.2","39.3","39.7"
"B01002A",2.000,"Male","38.4","+/-0.2","38.2","
