0,30,009,Montana,Carbon County,2,9552,4785,4767,494,272,222,1202,624,578,597,310,287,544,286,258,7570,3733,3837,7259,3579,3680,3494,1725,1769,2611,1330,1281,1608,756,852,208,78,130,41.9,41.4,42.5
050,30,009,Montana,Carbon County,3,9563,4788,4775,489,270,219,1201,622,579,598,311,287,546,288,258,7585,3739,3846,7275,3585,3690,3490,1721,1769,2637,1343,1294,1603,754,849,210,79,131,42.0,41.5,42.6
050,30,009,Montana,Carbon County,4,9636,4831,4805,476,257,219,1169,615,554,601,315,286,619,324,295,7681,3794,3887,73
