erman (032-045)",233,"Female householder, no husband present, family","20.0","+/-1.4","17.8","+/-2.9"
"535","German (032-045)",234,"Median income (dollars)","28,405","+/-1,918","37,602","+/-4,872"
"535","German (032-045)",235,"Individuals","967,089","*****","167,052","+/-7,650"
"535","German (032-045)",236,"Per capita income (dollars)","24,319","+/-495","29,850","+/-1,466"
"535","German (032-045)",237,"Male","161,264","+/-4,372","26,946","+/-2,343"
"535","German (032-045)",238,"Female","111,786","+/-4,830",
