18,765","8,163","45,693"
"B24041",4.000,"Mining","-","**","**","**"
"B24041",5.000,"Construction","30,707","+/-1,438","29,269","32,145"
"B24041",6.000,"Manufacturing","36,388","+/-4,871","31,517","41,259"
"B24041",7.000,"Wholesale trade","47,294","+/-5,186","42,108","52,480"
"B24041",8.000,"Retail trade","29,325","+/-2,174","27,151","31,499"
"B24041",9.000,"Transportation and warehousing, and utilities:","38,504","+/-5,030","33,474","43,534"
"B24041",10.000,"Transportation and warehousing","38,431","+/-5,24
