,5.000,"Some college or associate's degree","10,935","+/-1,804","9,131","12,739"
"C15002I",6.000,"Bachelor's degree or higher","6,306","+/-1,067","5,239","7,373"
"C15002I",7.000,"Female:","45,885","*****","*****","*****"
"C15002I",8.000,"Less than high school diploma","14,606","+/-2,218","12,388","16,824"
"C15002I",9.000,"High school graduate (includes equivalency)","12,146","+/-1,570","10,576","13,716"
"C15002I",10.000,"Some college or associate's degree","10,991","+/-1,956","9,035","12,947"
"C15002I",11.0
