","N"
"C25061",7.000,"$1,000 or more","N","N","N","N"
"C25066",.,"AGGREGATE GROSS RENT (DOLLARS) BY UNITS IN STRUCTURE",,,,
"C25066",.,"Universe:  Renter-occupied housing units paying cash rent",,,,
"C25066",1.000,"Aggregate gross rent (dollars):","142,681,100","+/-6,010,809","136,670,291","148,691,909"
"C25066",2.000,"1, detached or attached","62,903,500","+/-5,848,257","57,055,243","68,751,757"
"C25066",3.000,"2 or more","79,285,500","+/-4,645,241","74,640,259","83,930,741"
"C25066",4.000,"Mobile home, bo
