ODUCTS BEESWAX ,53 ,Monterey ,  ,  ,800 ,2.00 ,LBS ,1600
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,65 ,Riverside ,  ,  ,16340 ,2.00 ,LBS ,32700
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,73 ,San Diego ,  ,  ,  ,  ,  ,54200
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,81 ,San Mateo ,  ,  ,450 ,6.67 ,LBS ,3000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,99 ,Stanislaus ,  ,  ,7300 ,1.88 ,LBS ,13700
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,107 ,Tulare ,  ,  ,250000 ,0.78 ,LBS ,194000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,11
