       125","     48.9","   +/-0.2","              47.7","               +/-2.0"
"S0201","         126","     51.1","   +/-0.2","              52.3","               +/-2.0"
"S0201","         127","  207,907","+/-10,149","               871","               +/-354"
"S0201","         128","     49.9","   +/-1.6","              32.7","              +/-20.0"
"S0201","         129","     50.1","   +/-1.6","              67.3","              +/-20.0"
"S0201","         130","   76,110"," +/-4,742","               
