with one or more other races",66,"Now married, except separated","48.4","+/-1.2","52.4","+/-1.4"
"003","White alone or in combination with one or more other races",67,"Widowed","2.8","+/-0.4","3.1","+/-0.5"
"003","White alone or in combination with one or more other races",68,"Divorced","9.9","+/-0.8","10.6","+/-1.0"
"003","White alone or in combination with one or more other races",69,"Separated","1.6","+/-0.4","1.5","+/-0.4"
"003","White alone or in combination with one or more other races",70,"Never marr
