.1","0.2%","0.1",
"DP02",144.0,"Swedish","1.0%","0.2","1.1%","0.2",
"DP02",145.0,"Swiss","0.3%","0.1","0.4%","0.1",
"DP02",146.0,"Ukrainian","1.2%","0.2","0.8%","0.1","*"
"DP02",147.0,"Welsh","0.6%","0.1","0.6%","0.1",
"DP02",148.0,"West Indian (excluding Hispanic origin groups)","0.4%","0.1","0.8%","0.2",
"DP03",0.0,,,,,,
"DP03",0.5,,,,,,
"DP03",0.8,,,,,,
"DP03",1.0,"Population 16 years and over","528,273","3,236","534,571","3,080",
"DP03",2.0,"In labor force","68.3%","0.5","68.1%","0.5",
"DP03",3.0,"Civil
