German (032-045)",98,"Bachelor's degree or higher","16.0","+/-0.9","20.7","+/-3.3"
"535","German (032-045)",99,"Male, bachelor's degree or higher","16.4","+/-1.1","23.1","+/-4.5"
"535","German (032-045)",100,"Female, bachelor's degree or higher","15.7","+/-1.2","18.6","+/-3.6"
"535","German (032-045)",101,"Women 15 to 50 years","161,260","+/-2,276","21,491","+/-2,697"
"535","German (032-045)",102,"Women 15 to 50 years who had a birth in the past 12 months","6,762","+/-1,565","532","+/-459"
"535","German (03
