  Households",,,,
"B19067",1.000,"Aggregate public assistance income in the past 12 months (in 2007 inflation-adjusted dollars)","56,803,000","+/-11,395,369","45,407,631","68,198,369"
"B19069",.,"AGGREGATE RETIREMENT INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS",,,,
"B19069",.,"Universe:  Households",,,,
"B19069",1.000,"Aggregate retirement income in the past 12 months (in 2007 inflation-adjusted dollars)","9,297,822,400","+/-258,295,409","9,039,526,991","9,556,117,809"
"
