000,"Not in labor force","140,429","+/-5,540","134,889","145,969"
"B23007",.,"PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS",,,,
"B23007",.,"Universe:  Families",,,,
"B23007",1.000,"Total:","1,189,043","+/-9,765","1,179,278","1,198,808"
"B23007",2.000,"With own children under 18 years:","570,200","+/-9,124","561,076","579,324"
"B23007",3.000,"Married-couple family:","428,843","+/-7,998","420,845","436,841"
"B23007",4.000,"Husband in labor force:","409,489","+/-7,726","401,763",
