",10.000,"$17,500 to $19,999","7,998","+/-1,645","6,353","9,643"
"B20001",11.000,"$20,000 to $22,499","16,174","+/-3,075","13,099","19,249"
"B20001",12.000,"$22,500 to $24,999","7,492","+/-1,685","5,807","9,177"
"B20001",13.000,"$25,000 to $29,999","19,949","+/-2,721","17,228","22,670"
"B20001",14.000,"$30,000 to $34,999","19,301","+/-2,605","16,696","21,906"
"B20001",15.000,"$35,000 to $39,999","13,500","+/-1,563","11,937","15,063"
"B20001",16.000,"$40,000 to $44,999","13,661","+/-2,086","11,575","15,747"
