RS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B21001H",.,"Universe: White alone, not Hispanic or Latino civilian population 18 years and over",,,,
"B21001H",1.000,"Total:","27,873","+/-2,882","24,991","30,755"
"B21001H",2.000,"Male:","12,959","+/-1,593","11,366","14,552"
"B21001H",3.000,"18 to 34 years:","2,050","+/-710","1,340","2,760"
"B21001H",4.000,"Veteran","115","+/-143","0","258"
"B21001H",5.000,"Nonveteran","1,935","+/-697","1,238","2,632"
"B21001H",6.000,"35 to 54 years:","5,274","+/-941"
