an (032-045)",245,"With related children under 5 years only","17.2","+/-5.4","N","N"
"535","German (032-045)",246,"Married-couple family","4.8","+/-0.8","2.3","+/-1.4"
"535","German (032-045)",247,"With related children under 18 years","7.7","+/-1.5","N","N"
"535","German (032-045)",248,"With related children under 5 years only","4.9","+/-2.3","N","N"
"535","German (032-045)",249,"Female householder, no husband present, family","26.7","+/-4.1","21.3","+/-8.8"
"535","German (032-045)",250,"With related child
