ces, and health care and social assistance:","50,337","+/-5,966","44,371","56,303"
"B24042",48.000,"Educational services","53,750","+/-7,022","46,728","60,772"
"B24042",49.000,"Health care and social assistance","47,467","+/-8,265","39,202","55,732"
"B24042",50.000,"Arts, entertainment, and recreation, and accommodation and food services:","24,622","+/-4,230","20,392","28,852"
"B24042",51.000,"Arts, entertainment, and recreation","33,776","+/-42,319","-8,543","76,095"
"B24042",52.000,"Accommodation and food
