ransportation, and child care workers","3,868","+/-1,222","2,646","5,090"
"B24010",201.000,"Sales and office occupations:","66,331","+/-4,554","61,777","70,885"
"B24010",202.000,"Sales and related occupations:","25,012","+/-3,098","21,914","28,110"
"B24010",203.000,"Cashiers","5,994","+/-1,248","4,746","7,242"
"B24010",204.000,"Retail sales workers except cashiers","5,875","+/-1,358","4,517","7,233"
"B24010",205.000,"Sales representatives, services, wholesale and manufacturing","3,786","+/-1,176","2,610","4
