61.5","+/-3.1","58.7","+/-3.2","3.1","+/-1.7",,,,
"S2301",11.0,"Black or African American","36,951","+/-1,004","52.5","+/-3.7","43.9","+/-4.4","16.3","+/-5.9",,,,
"S2301",12.0,"American Indian and Alaska Native","N","N","N","N","N","N","N","N",,,,
"S2301",13.0,"Asian","N","N","N","N","N","N","N","N",,,,
"S2301",14.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N",,,,
"S2301",15.0,"Some other race","N","N","N","N","N","N","N","N",,,,
"S2301",16.0,"Two or more races","N","N","N","
