 to 1979","3,724","+/-878","2,846","4,602"
"B25038",15.000,"Moved in 1969 or earlier","2,973","+/-763","2,210","3,736"
"B25039",.,"MEDIAN YEAR HOUSEHOLDER MOVED INTO UNIT BY TENURE",,,,
"B25039",.,"Universe:  Occupied housing units",,,,
"B25039",0.700,"Median year householder moved into unit --",,,,
"B25039",1.000,"Total:","2001","+/-1","2000","2002"
"B25039",2.000,"Owner occupied","1999","+/-1","1998","2000"
"B25039",3.000,"Renter occupied","2005","+/-1","2004","2006"
"B25040",.,"HOUSE HEATING FUEL",,,,
"B
