16299 ,GRAPES WINE ,33 ,Lake ,7949 ,4.57 ,36321 ,1196.26 ,TON ,43449300
2007 ,216299 ,GRAPES WINE ,39 ,Madera ,53500 ,10.59 ,566559 ,206.58 ,TONS ,117042000
2007 ,216299 ,GRAPES WINE ,41 ,Marin ,192 ,0.90 ,173 ,4368.21 ,TONS ,755700
2007 ,216299 ,GRAPES WINE ,43 ,Mariposa ,97 ,1.20 ,116 ,1206.90 ,TONS ,140000
2007 ,216299 ,GRAPES WINE ,45 ,Mendocino ,16342 ,3.77 ,61589 ,1223.41 ,TON ,75348300
2007 ,216299 ,GRAPES WINE ,47 ,Merced ,9819 ,6.69 ,65702 ,274.09 ,TON ,18008000
2007 ,216299 ,GRAPES WINE ,53 
