",68.000,"Eastern Africa:","N","N","N","N"
"B05006",69.000,"Ethiopia","N","N","N","N"
"B05006",70.000,"Kenya","N","N","N","N"
"B05006",71.000,"Other Eastern Africa","N","N","N","N"
"B05006",72.000,"Middle Africa","N","N","N","N"
"B05006",73.000,"Northern Africa:","N","N","N","N"
"B05006",74.000,"Egypt","N","N","N","N"
"B05006",75.000,"Other Northern Africa","N","N","N","N"
"B05006",76.000,"Southern Africa:","N","N","N","N"
"B05006",77.000,"South Africa","N","N","N","N"
"B05006",78.000,"Other Southern Africa
