 155,652","  29.1%","   0.1%","+/-2.1%","no"
"        1","      85","Households with one or more people 65 years and over","       158,328","  29.8%","       153,127","  28.6%","- 1.2%","+/-1.2%","no"
"        1","      86"," "," "," "," "," "," "," "," "
"        1","      86","Average household size","          2.31","(NA)","          2.29","(NA)","         -0.02","+/-0.05","no"
"        1","      87","Average family size","          3.03","(NA)","          2.96","(NA)","         -0.07","+/-0.10","no"
