5)",138,"Male","52.8","+/-3.6","35.8","+/-14.9"
"535","German (032-045)",139,"Female","47.2","+/-3.6","64.2","+/-14.9"
"535","German (032-045)",140,"Entered 2000 or later","28.7","+/-3.6","9.5","+/-7.7"
"535","German (032-045)",141,"Entered 1990 to 1999","30.6","+/-3.4","10.7","+/-10.5"
"535","German (032-045)",142,"Entered before 1990","40.7","+/-3.2","79.8","+/-13.5"
"535","German (032-045)",143,"Foreign-born population excluding population born at sea","107,657","+/-5,914","3,455","+/-1,308"
"535","Germa
