,34.000,"Public transportation (excluding taxicab):","6,076","+/-1,778","4,298","7,854"
"C08132",35.000,"12:00 a.m. to 4:59 a.m.","715","+/-584","131","1,299"
"C08132",36.000,"5:00 a.m. to 5:29 a.m.","603","+/-525","78","1,128"
"C08132",37.000,"5:30 a.m. to 5:59 a.m.","0","+/-303","0","303"
"C08132",38.000,"6:00 a.m. to 6:29 a.m.","497","+/-378","119","875"
"C08132",39.000,"6:30 a.m. to 6:59 a.m.","564","+/-383","181","947"
"C08132",40.000,"7:00 a.m. to 7:29 a.m.","545","+/-351","194","896"
"C08132",41.000,
