,,,,,,
S0504,116,All families,16.9,+/-0.7,17.5,+/-3.9,3.7,+/-3.6,N,N,,,,,,
S0504,117,With related children under 18 years,22.4,+/-1.0,23.0,+/-5.5,N,N,N,N,,,,,,
S0504,118,With related children under 5 years only,17.8,+/-1.9,24.1,+/-11.3,N,N,N,N,,,,,,
S0504,119,Married-couple family,12.3,+/-0.8,16.3,+/-5.1,N,N,N,N,,,,,,
S0504,120,With related children under 18 years,14.1,+/-1.2,20.5,+/-6.8,N,N,N,N,,,,,,
S0504,121,With related children under 5 years only,11.6,+/-2.2,15.2,+/-11.7,N,N,N,N,,,,,,
S0504,122,Female 
