,6.000,"Now married (including separated and spouse absent)","18,981","+/-2,297","16,684","21,278"
"B13002F",7.000,"Unmarried (never married, widowed and divorced)","16,394","+/-2,378","14,016","18,772"
"B13002G",.,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES)",,,,
"B13002G",.,"Universe:  Two or more races women 15 to 50 years",,,,
"B13002G",1.000,"Total:","17,703","+/-2,277","15,426","19,980"
"B13002G",2.000,"Women who had a birth in the past 12 months:",
