67"
"C23002A",26.000,"Unemployed","0","+/-265","0","265"
"C23002A",27.000,"Not in labor force","48,419","+/-779","47,640","49,198"
"C23002B",.,"SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"C23002B",.,"Universe:  Black or African American alone population 16 years and over",,,,
"C23002B",1.000,"Total:","N","N","N","N"
"C23002B",2.000,"Male:","N","N","N","N"
"C23002B",3.000,"16 to 64 years:","N","N","N","N"
"C23002B",4.000,"In labor force:","N","
