000,"High school graduate (includes equivalency)","104","+/-177","0","281"
"B13014",12.000,"Some college or associate's degree","128","+/-165","0","293"
"B13014",13.000,"Bachelor's degree","0","+/-292","0","292"
"B13014",14.000,"Graduate or professional degree","0","+/-292","0","292"
"B13014",15.000,"Women who did not have a birth in the past 12 months:","28,818","+/-2,720","26,098","31,538"
"B13014",16.000,"Now married (including separated and spouse absent):","10,395","+/-1,350","9,045","11,745"
"B13014",
