,
"C04001",1.000,"Total:","706,984","*****","*****","*****"
"C04001",2.000,"American","11,816","+/-2,359","9,457","14,175"
"C04001",3.000,"Arab","11,166","+/-4,111","7,055","15,277"
"C04001",4.000,"British","3,207","+/-1,180","2,027","4,387"
"C04001",5.000,"Czech","2,259","+/-991","1,268","3,250"
"C04001",6.000,"Danish","3,536","+/-1,307","2,229","4,843"
"C04001",7.000,"Dutch","4,058","+/-1,029","3,029","5,087"
"C04001",8.000,"English","30,125","+/-3,259","26,866","33,384"
"C04001",9.000,"European","13,270"
