.000,"Motor vehicle operators","31,666","+/-1,354","30,312","33,020"
"B24012",37.000,"Material moving workers","26,030","+/-1,349","24,681","27,379"
"B24012",38.000,"Female:","31,595","+/-352","31,243","31,947"
"B24012",39.000,"Management, professional, and related occupations:","48,179","+/-1,056","47,123","49,235"
"B24012",40.000,"Management, business, and financial occupations:","56,001","+/-1,512","54,489","57,513"
"B24012",41.000,"Management occupations","60,059","+/-3,524","56,535","63,583"
"B24012",4
