","Central America:",58,"Average family size","3.23","+/-0.06","4.27","+/-0.30"
"716","Central America:",59,"Population 15 years and over","637,673","+/-5,662","59,789","+/-4,145"
"716","Central America:",60,"Now married, except separated","51.4","+/-1.2","60.1","+/-5.7"
"716","Central America:",61,"Widowed","5.5","+/-0.4","1.0","+/-0.9"
"716","Central America:",62,"Divorced","13.9","+/-0.9","6.4","+/-2.3"
"716","Central America:",63,"Separated","2.3","+/-0.4","3.9","+/-1.7"
"716","Central America:",64,"Nev
