99,999","322,113","+/-8,390","23.8","+/-0.6"
"DP04",85.0,"$300,000 to $499,999","448,772","+/-9,726","33.1","+/-0.7"
"DP04",86.0,"$500,000 to $999,999","200,852","+/-6,328","14.8","+/-0.5"
"DP04",87.0,"$1,000,000 or more","56,687","+/-3,045","4.2","+/-0.2"
"DP04",88.0,"Median (dollars)","310,300","+/-2,673","(X)","(X)"
"DP04",88.3,,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,,
"DP04",89.0,"Owner-occupied units","1,354,306","+/-11,022","100","(X)"
"DP04",90.0,"Housing units with a mo
