0,"$75,000 or more","325,057","+/-6,809","318,248","331,866"
"C20005",12.000,"Other:","741,421","+/-10,045","731,376","751,466"
"C20005",13.000,"No earnings","328,715","+/-6,044","322,671","334,759"
"C20005",14.000,"With earnings:","412,706","+/-9,765","402,941","422,471"
"C20005",15.000,"$1 to $9,999 or loss","166,008","+/-6,111","159,897","172,119"
"C20005",16.000,"$10,000 to $19,999","76,059","+/-4,818","71,241","80,877"
"C20005",17.000,"$20,000 to $29,999","41,731","+/-3,510","38,221","45,241"
"C20005",
