2)",82,"College or graduate school","31.8","+/-1.3","45.6","+/-9.9"
"529","English (015, 022)",83,"Male 3 years and over enrolled in school","124,724","+/-3,267","8,065","+/-2,159"
"529","English (015, 022)",84,"Percent enrolled in kindergarten to grade 12","67.1","+/-1.8","54.0","+/-14.1"
"529","English (015, 022)",85,"Percent enrolled in college or graduate school","27.7","+/-1.9","45.3","+/-14.1"
"529","English (015, 022)",86,"Female 3 years and over enrolled in school","133,275","+/-3,694","8,860","+/-1
