73",4.6,934,1.8
"..$45,000 to $49,999","2,354",2.2,"1,688",3.1,666,1.3
"..$50,000 to $54,999","2,556",2.4,"1,861",3.5,695,1.3
"..$55,000 to $59,999","1,381",1.3,972,1.8,409,0.8
"..$60,000 to $64,999","1,637",1.6,"1,247",2.3,390,0.8
"..$65,000 to $74,999","2,034",1.9,"1,543",2.9,491,1.0
"..$75,000 to $99,999","2,928",2.8,"2,393",4.5,535,1.0
"..$100,000 or more","3,818",3.6,"3,229",6.0,589,1.1
.Did not work in 1999,"5,681",5.4,"2,732",5.1,"2,949",5.7
,,,,,,
WEEKS WORKED IN 1999,,,,,,
.Worked in 1999,"99,714",
