00,"$25,000 to $29,999","7,423","+/-1,356","6,067","8,779"
"B19001",7.000,"$30,000 to $34,999","10,255","+/-1,814","8,441","12,069"
"B19001",8.000,"$35,000 to $39,999","6,615","+/-1,185","5,430","7,800"
"B19001",9.000,"$40,000 to $44,999","8,667","+/-1,688","6,979","10,355"
"B19001",10.000,"$45,000 to $49,999","7,219","+/-1,322","5,897","8,541"
"B19001",11.000,"$50,000 to $59,999","17,846","+/-2,045","15,801","19,891"
"B19001",12.000,"$60,000 to $74,999","26,650","+/-2,745","23,905","29,395"
"B19001",13.000
