01",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"B19001",.,"Universe:  Households",,,,
"B19001",1.000,"Total:","37,478","+/-1,855","35,623","39,333"
"B19001",2.000,"Less than $10,000","2,356","+/-961","1,395","3,317"
"B19001",3.000,"$10,000 to $14,999","2,323","+/-621","1,702","2,944"
"B19001",4.000,"$15,000 to $19,999","1,109","+/-456","653","1,565"
"B19001",5.000,"$20,000 to $24,999","1,555","+/-581","974","2,136"
"B19001",6.000,"$25,000 to $29,999","1,237","+/-465"
