UPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B24010H",.,"Universe:  Civilian employed White alone, not Hispanic or Latino population 16 years and over",,,,
"B24010H",1.000,"Total:","247,610","+/-8,078","239,532","255,688"
"B24010H",2.000,"Male:","130,822","+/-5,802","125,020","136,624"
"B24010H",3.000,"Management, professional, and related occupations:","50,863","+/-3,346","47,517","54,209"
"B24010H",4.000,"Management, business, and financial occ
