than $10,000","6,489","+/-1,082","5,407","7,571"
"B19037H",55.000,"$10,000 to $14,999","8,676","+/-1,303","7,373","9,979"
"B19037H",56.000,"$15,000 to $19,999","8,721","+/-1,201","7,520","9,922"
"B19037H",57.000,"$20,000 to $24,999","8,198","+/-1,154","7,044","9,352"
"B19037H",58.000,"$25,000 to $29,999","4,677","+/-977","3,700","5,654"
"B19037H",59.000,"$30,000 to $34,999","3,837","+/-766","3,071","4,603"
"B19037H",60.000,"$35,000 to $39,999","3,189","+/-769","2,420","3,958"
"B19037H",61.000,"$40,000 to $4
