","Central America:",168,"Workers 16 years and over","416,420","+/-6,523","42,726","+/-3,753"
"716","Central America:",169,"Car, truck, or van - drove alone","75.4","+/-1.4","64.6","+/-4.5"
"716","Central America:",170,"Car, truck, or van - carpooled","12.0","+/-1.0","16.9","+/-3.4"
"716","Central America:",171,"Public transportation (excluding taxicab)","2.3","+/-0.5","3.7","+/-1.9"
"716","Central America:",172,"Walked","2.8","+/-0.5","3.2","+/-1.9"
"716","Central America:",173,"Other means","2.9","+/-0.5"
