rtainment, sports, and media occupations","40,382","+/-6,958","33,424","47,340"
"B24021",14.000,"Healthcare practitioner and technical occupations:","59,543","+/-8,363","51,180","67,906"
"B24021",15.000,"Health diagnosing and treating practitioners and other technical occupations","74,540","+/-9,362","65,178","83,902"
"B24021",16.000,"Health technologists and technicians","36,495","+/-10,511","25,984","47,006"
"B24021",17.000,"Service occupations:","26,663","+/-1,637","25,026","28,300"
"B24021",18.000,"Heal
