0US0640","1"," 34","        29,611","        19,623","        39,599"
"50000US0640","1"," 35","         5,223","         1,492","         8,954"
"50000US0640","1"," 36","         1,978","           243","         3,713"
"50000US0640","1"," 37","             N","             N","             N"
"50000US0640","1"," 38","             N","             N","             N"
"50000US0640","1"," 39","             N","             N","             N"
"50000US0640","1"," 40","             N","             N","  
