, and repair occupations","398","+/-251","147","649"
"C24010A",15.000,"Production, transportation, and material moving occupations","1,457","+/-534","923","1,991"
"C24010B",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"C24010B",.,"Universe:  Civilian employed Black or African American alone population 16 years and over",,,,
"C24010B",1.000,"Total:","8,322","+/-1,213","7,109","9,535"
"C24010B",2.000,"Male:","3,975","+/-938","3,037","4,913"
