h a householder who is White alone",,,,
"B19013A",1.000,"Median household income in the past 12 months (in 2007 inflation-adjusted dollars)","84,437","+/-4,120","80,317","88,557"
"B19013B",.,"MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER)",,,,
"B19013B",.,"Universe:  Households with a householder who is Black or African American alone",,,,
"B19013B",1.000,"Median household income in the past 12 months (in 2007 inflation-adjust
