000,"Speak English ""not well""","N","N","N","N"
"B16005D",45.000,"Speak English ""not at all""","N","N","N","N"
"B16005E",.,"NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)",,,,
"B16005E",.,"Universe:  Native Hawaiian and Other Pacific Islander alone population 5 years and over",,,,
"B16005E",1.000,"Total:","N","N","N","N"
"B16005E",2.000,"Native:","N","N","N","N"
"B16005E",3.000,"Speak only English","N",
