,999","2,369","+/-779","1,590","3,148"
"B25096",9.000,"$500,000 or more","674","+/-386","288","1,060"
"B25096",10.000,"Not mortgaged:","99,204","+/-3,636","95,568","102,840"
"B25096",11.000,"Less than $50,000","32,452","+/-2,309","30,143","34,761"
"B25096",12.000,"$50,000 to $99,999","32,245","+/-2,630","29,615","34,875"
"B25096",13.000,"$100,000 to $149,999","16,873","+/-1,889","14,984","18,762"
"B25096",14.000,"$150,000 to $199,999","8,217","+/-1,364","6,853","9,581"
"B25096",15.000,"$200,000 to $299,999"
