0.000,"22 to 24 years","12,700","+/-1,569","11,131","14,269"
"B01001",11.000,"25 to 29 years","19,527","+/-498","19,029","20,025"
"B01001",12.000,"30 to 34 years","24,207","+/-692","23,515","24,899"
"B01001",13.000,"35 to 39 years","27,377","+/-2,096","25,281","29,473"
"B01001",14.000,"40 to 44 years","30,594","+/-2,102","28,492","32,696"
"B01001",15.000,"45 to 49 years","29,544","+/-758","28,786","30,302"
"B01001",16.000,"50 to 54 years","27,302","+/-439","26,863","27,741"
"B01001",17.000,"55 to 59 years",
