,"Total:","29,707","+/-2,606","27,101","32,313"
"B15002A",2.000,"Male:","13,964","+/-1,591","12,373","15,555"
"B15002A",3.000,"Less than 9th grade","897","+/-573","324","1,470"
"B15002A",4.000,"9th to 12th grade, no diploma","1,148","+/-515","633","1,663"
"B15002A",5.000,"High school graduate (includes equivalency)","2,932","+/-818","2,114","3,750"
"B15002A",6.000,"Some college, no degree","3,188","+/-803","2,385","3,991"
"B15002A",7.000,"Associate's degree","1,754","+/-577","1,177","2,331"
"B15002A",8.000,
