present, family","208,488","+/-9,848","198,640","218,336"
"B09005",6.000,"In nonfamily households","5,657","+/-1,675","3,982","7,332"
"B09006",.,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS",,,,
"B09006",.,"Universe:  Population under 18 years in households (excluding householders, spouses, and unmarried partners)",,,,
"B09006",1.000,"Total:","1,107,697","+/-4,165","1,103,532","1,111,862"
"B09006",2.000,"Own child","1,009,961","+/-7,236","1,002,725","1,017,197"
"B09006",3.000,"Gran
